participantID,item,rating,targetType,targetNumber,facialColoration,shownEmotion,emotionChoiceID,target_gender,ratedEmotion,congruent_choice
P034,WF-009-NR-N_4,2,WF,009,NR,N,4,Female,Angry,4
P053,WF-009-NR-N_4,2,WF,009,NR,N,4,Female,Angry,4
P045,WF-009-NR-N_4,2,WF,009,NR,N,4,Female,Angry,4
P029,WF-009-NR-N_4,1,WF,009,NR,N,4,Female,Angry,4
P027,WF-009-NR-N_4,1,WF,009,NR,N,4,Female,Angry,4
P003,WF-009-NR-N_4,3,WF,009,NR,N,4,Female,Angry,4
P60,WF-009-NR-HC_1,5,WF,009,NR,HC,1,Female,Happy,1
P059,WF-009-NR-HC_1,5,WF,009,NR,HC,1,Female,Happy,1
P054,WF-009-NR-HC_1,4,WF,009,NR,HC,1,Female,Happy,1
P034,WF-009-NR-HC_1,4,WF,009,NR,HC,1,Female,Happy,1
P053,WF-009-NR-HC_1,5,WF,009,NR,HC,1,Female,Happy,1
P045,WF-009-NR-HC_1,4,WF,009,NR,HC,1,Female,Happy,1
P029,WF-009-NR-HC_1,5,WF,009,NR,HC,1,Female,Happy,1
P027,WF-009-NR-HC_1,5,WF,009,NR,HC,1,Female,Happy,1
P003,WF-009-NR-HC_1,5,WF,009,NR,HC,1,Female,Happy,1
P60,WF-009-NR-A_4,5,WF,009,NR,A,4,Female,Angry,4
P059,WF-009-NR-A_4,3,WF,009,NR,A,4,Female,Angry,4
P054,WF-009-NR-A_4,4,WF,009,NR,A,4,Female,Angry,4
P034,WF-009-NR-A_4,3,WF,009,NR,A,4,Female,Angry,4
P053,WF-009-NR-A_4,4,WF,009,NR,A,4,Female,Angry,4
P045,WF-009-NR-A_4,4,WF,009,NR,A,4,Female,Angry,4
P029,WF-009-NR-A_4,5,WF,009,NR,A,4,Female,Angry,4
P027,WF-009-NR-A_4,5,WF,009,NR,A,4,Female,Angry,4
P003,WF-009-NR-A_4,5,WF,009,NR,A,4,Female,Angry,4
P60,WF-009-NR-F_6,3,WF,009,NR,F,6,Female,Scared,6
P059,WF-009-NR-F_6,1,WF,009,NR,F,6,Female,Scared,6
P054,WF-009-NR-F_6,3,WF,009,NR,F,6,Female,Scared,6
P034,WF-009-NR-F_6,2,WF,009,NR,F,6,Female,Scared,6
P053,WF-009-NR-F_6,3,WF,009,NR,F,6,Female,Scared,6
P045,WF-009-NR-F_6,1,WF,009,NR,F,6,Female,Scared,6
P029,WF-009-NR-F_6,1,WF,009,NR,F,6,Female,Scared,6
P027,WF-009-NR-F_6,1,WF,009,NR,F,6,Female,Scared,6
P003,WF-009-NR-F_6,4,WF,009,NR,F,6,Female,Scared,6
P059,WF-010-NR-N_4,4,WF,010,NR,N,4,Female,Angry,4
P037,WF-010-NR-N_4,2,WF,010,NR,N,4,Female,Angry,4
P017,WF-010-NR-N_4,2,WF,010,NR,N,4,Female,Angry,4
P014,WF-010-NR-N_4,1,WF,010,NR,N,4,Female,Angry,4
P050,WF-010-NR-N_4,2,WF,010,NR,N,4,Female,Angry,4
P010,WF-010-NR-N_4,3,WF,010,NR,N,4,Female,Angry,4
P009,WF-010-NR-N_4,1,WF,010,NR,N,4,Female,Angry,4
P006,WF-010-NR-N_4,2,WF,010,NR,N,4,Female,Angry,4
P004,WF-010-NR-N_4,3,WF,010,NR,N,4,Female,Angry,4
P059,WF-010-NR-HC_1,1,WF,010,NR,HC,1,Female,Happy,1
P037,WF-010-NR-HC_1,1,WF,010,NR,HC,1,Female,Happy,1
P017,WF-010-NR-HC_1,4,WF,010,NR,HC,1,Female,Happy,1
P014,WF-010-NR-HC_1,4,WF,010,NR,HC,1,Female,Happy,1
P050,WF-010-NR-HC_1,3,WF,010,NR,HC,1,Female,Happy,1
P010,WF-010-NR-HC_1,3,WF,010,NR,HC,1,Female,Happy,1
P009,WF-010-NR-HC_1,4,WF,010,NR,HC,1,Female,Happy,1
P006,WF-010-NR-HC_1,4,WF,010,NR,HC,1,Female,Happy,1
P004,WF-010-NR-HC_1,4,WF,010,NR,HC,1,Female,Happy,1
